요구사항 ID,구현 유무,기능ID,기능명,디자인 보유 여부,상세설명,선택 데이터,요구사항명,페이지,필수 데이터
EDT-02,✅,EDT-02-03,연결선 스타일 변경,YES,"연결선의 스타일(직선, 곡선, 꿔인선)을 변경한다.",,연결선(Edge) 관리,,"연결선 ID, 스타일 유형"
WS-03,❌,WS-03_04,노드 삭제 이벤트 발행,,노드 삭제 시 다른 사용자에게 이벤트를 발행한다.,,메시지 발행(Publish),,"로드맵 ID, 노드 ID"
EDT-01,⚠️,EDT-01-07,노드 AI 자동 생성,YES,Init 데이터를 기반으로 AI가 노드를 자동으로 생성한다.,,노드(Node) 관리,,"로드맵 ID, Init 데이터 ID"
MEM-01,⚠️,MEM-01-05,소셜 로그인 (Google),YES,Google OAuth2.0을 통해 계정을 생성하거나 로그인한다.,,사용자 인증,,Google OAuth 토큰
EDT-01,✅,EDT-01_04,노드 삭제,YES,노드를 삭제한다. 연결된 엣지도 함께 삭제된다.,,노드 관리,,노드 ID
EDT-04,✅,EDT-04_01,텍스트 요소 생성,YES,캔버스에 독립적인 텍스트 요소를 생성한다.,,텍스트/이미지 관리,,"로드맵 ID, 위치, 텍스트 내용"
EDT-01,✅,EDT-01_05,노드 이동,YES,노드를 캔버스 내 다른 위치로 드래그하여 이동한다.,,노드 관리,,"노드 ID, 새 위치(x,y)"
MEM-01,⚠️,MEM-01_01,회원가입,YES,이메일/비밀번호 또는 소셜 로그인(Google)을 통해 신규 계정을 생성한다. 이메일 인증을 통해 계정을 활성화한다.,,사용자 인증,,"이메일, 비밀번호, 이름"
MAP-02,❌,MAP-02-03,문서 삭제,YES,로드맵 설명 문서를 삭제한다.,,로드맵 문서(Document) 관리,,로드맵 ID
WS-04,❌,WS-04_05,코멘트 수신 처리,,새 코멘트/답글을 수신하여 UI에 표시한다.,,메시지 수신 처리,,코멘트 데이터
KEY-01,❌,KEY-01_04,빠른 연결,YES,L키로 빠르게 연결선을 생성한다.,,단축키 관리,,없음
EDT-03,✅,EDT-03-01,섹션 생성,YES,여러 노드를 그룹화하는 섹션을 생성한다.,,섹션(Section) 관리,,"로드맵 ID, 섹션명, 영역 좌표"
EDT-01,❌,EDT-01_07,노드 크기 조절,NO,"노드의 크기(width, height)를 조절한다.",,노드 관리,,"노드 ID, 새 크기"
NTF-01,❌,NTF-01_02,알림 읽음 처리,NO,알림을 읽음 처리한다.,,알림 관리,,알림 ID
EDT-06,❌,EDT-06_10,그룹 해제,NO,그룹화된 요소들을 개별 요소로 분리한다.,,선택 및 편집,,그룹 ID
PRS-01,❌,PRS-01_01,프레젠테이션 모드,DON'T KNOW,[삭제] 프레젠테이션 기능 제거.,,프레젠테이션 기능,,로드맵 ID
EDT-06,❌,EDT-06_06,잘라내기,YES,선택된 요소를 잘라낸다. (Ctrl+X),,선택 및 편집,,요소 ID 목록
